Model,Best Params,CV Score (MAE),RMSE,MAE,R²,MAPE
XGBoost,"{'colsample_bytree': np.float64(0.6053059844639466), 'learning_rate': np.float64(0.29266052670545584), 'max_depth': 8, 'n_estimators': 291, 'subsample': np.float64(0.7541666010159664)}",7675.406058278641,32534.411041693056,8623.064742228804,0.3345166365118878,0.27475776045540445
Random Forest,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 108}",8730.58565881937,28625.0211304824,9382.890843957808,0.4848390489472061,0.3238302842844599
CatBoost,"{'depth': 9, 'iterations': 102, 'l2_leaf_reg': 2, 'learning_rate': np.float64(0.22659963168004743)}",9020.615954732586,33772.9918050642,9825.979535271388,0.2828824127275288,0.32409704410638396
OLS (Linear Regression),{'fit_intercept': True},9824.643768237547,28696.90320535229,9895.800726844403,0.48224849482272414,0.32438806191157576
