Model,Best Params,CV Score (MAE),RMSE,MAE,R²,MAPE
XGBoost,"{'colsample_bytree': np.float64(0.6053059844639466), 'learning_rate': np.float64(0.29266052670545584), 'max_depth': 8, 'n_estimators': 291, 'subsample': np.float64(0.7541666010159664)}",6120.973684281647,17019.440818473086,6053.7963008675215,0.7864913997714489,0.22597327844794377
OLS (Linear Regression),{'fit_intercept': False},7533.027002892841,20598.360355340326,7638.043006866516,0.6872551964196139,0.2827714067774652
CatBoost,"{'depth': 9, 'iterations': 102, 'l2_leaf_reg': 2, 'learning_rate': np.float64(0.22659963168004743)}",7570.229730480311,21164.039973691637,7830.223587345244,0.6698419084320735,0.29501987542393626
Random Forest,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 108}",8157.327655683412,20886.92484317322,8363.22296970605,0.6784312723375526,0.3399491733946307
